Tempo Movimento SUB 1,Tempo Movimento SUB 2,Asincronia Tempo Movimento,Start SUB1,Start SUB2,Asincronia Start,Stop SUB 1,Stop SUB 2,Asincronia Grasp,Tocco Effettivo SUB1,Tocco Effettivo SUB2,numero di trials,Sub-conditions,Tocco Atteso SUB1,Tocco Atteso SUB2,Accuratezza SUB1,Accuratezza SUB2,Accuratezza Coppia,Participant,Session,Condition,triggers
1574,1107,467,685,1100,415,2315,2251,64,2,1,1,su-su,1,1,0,1,0,10,1,CUED/SAME,11
1391,1200,191,982,1286,304,2423,2533,110,1,2,2,su-su,1,1,1,0,0,10,1,CUED/SAME,11
1772,1310,462,776,1128,352,2599,2489,110,2,1,3,giu-giu,2,2,1,0,0,10,1,CUED/SAME,12
1064,1179,115,723,899,176,1844,2146,302,1,1,4,su-su,1,1,1,1,1,10,1,CUED/SAME,11
3229,2138,1091,571,811,240,3849,3003,846,2,1,5,su-su,1,1,0,1,0,10,1,CUED/SAME,11
1947,1339,608,954,1434,480,2952,2843,109,2,1,6,giu-giu,2,2,1,0,0,10,1,CUED/SAME,12
1407,1109,298,619,859,240,2074,2010,64,1,1,7,giu-giu,2,2,0,0,0,10,1,CUED/SAME,12
1747,1328,419,55,423,368,1862,1798,64,2,1,8,su-su,1,1,0,1,0,10,1,CUED/SAME,11
3174,3602,428,597,901,304,3829,4562,733,1,1,9,giu-giu,2,2,0,0,0,10,1,CUED/SAME,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
