frame_index,t_perf_counter_s,t_unix_s
0,965.1303048,1788879102.362537
1,965.161214,1788879102.393446
2,965.1928344,1788879102.4250665
3,965.2227308,1788879102.4549627
4,965.254397,1788879102.4866288
5,965.284715,1788879102.5169468
6,965.3018393,1788879102.534071
7,965.3327497,1788879102.5649812
8,965.363581,1788879102.5958126
9,965.4011267,1788879102.633358
10,965.4260109,1788879102.6582427
11,965.441358,1788879102.67359
12,965.4726794,1788879102.7049108
13,965.5045745,1788879102.7368064
14,965.5344248,1788879102.7666564
15,965.5510066,1788879102.7832382
16,965.565713,1788879102.7979445
17,965.5970786,1788879102.8293102
18,965.6278158,1788879102.8600478
19,965.6436375,1788879102.8758698
20,965.6603676,1788879102.8925993
21,965.6902112,1788879102.9224424
22,965.7231206,1788879102.955352
23,965.7525664,1788879102.984798
24,965.7861323,1788879103.018364
25,965.8166353,1788879103.048867
26,965.8465025,1788879103.0787342
27,965.876919,1788879103.1091504
28,965.9074006,1788879103.1396325
29,965.9398409,1788879103.1720724
30,965.9710956,1788879103.2033277
31,966.0026712,1788879103.2349036
32,966.0331995,1788879103.2654316
33,966.0652997,1788879103.2975318
34,966.0948728,1788879103.3271046
35,966.1272061,1788879103.3594384
36,966.1583892,1788879103.3906214
37,966.1718819,1788879103.4041133
38,966.2038427,1788879103.4360743
39,966.2342818,1788879103.4665134
40,966.2654958,1788879103.4977276
41,966.2975176,1788879103.5297494
42,966.3273883,1788879103.5596201
43,966.3593364,1788879103.5915678
44,966.3901672,1788879103.6223986
45,966.420388,1788879103.6526196
46,966.4522918,1788879103.6845238
47,966.4829162,1788879103.7151477
48,966.5124946,1788879103.7447262
49,966.5436253,1788879103.7758572
50,966.5737824,1788879103.8060143
51,966.5910531,1788879103.823285
52,966.6211353,1788879103.8533669
53,966.6521867,1788879103.8844187
54,966.6833157,1788879103.9155483
55,966.71372,1788879103.9459522
56,966.7288235,1788879103.961055
57,966.7600131,1788879103.9922447
58,966.7926781,1788879104.02491
59,966.8225168,1788879104.0547488
60,966.8533129,1788879104.0855446
61,966.8842229,1788879104.1164546
62,966.9156703,1788879104.1479023
63,966.9487272,1788879104.1809595
64,966.9788809,1788879104.2111132
65,967.0093949,1788879104.2416267
66,967.0400203,1788879104.272252
67,967.0716452,1788879104.3038774
68,967.0872359,1788879104.3194675
69,967.1174659,1788879104.349698
70,967.1329688,1788879104.3652003
71,967.164385,1788879104.3966167
72,967.1966527,1788879104.4288845
73,967.228042,1788879104.460274
74,967.258306,1788879104.4905376
75,967.2894636,1788879104.5216959
76,967.3215655,1788879104.5537977
77,967.3521398,1788879104.5843716
78,967.3836789,1788879104.615911
79,967.4143552,1788879104.646587
80,967.4461281,1788879104.6783602
81,967.475683,1788879104.7079146
82,967.5059665,1788879104.738198
83,967.5379448,1788879104.7701764
84,967.5668042,1788879104.7990355
85,967.5978691,1788879104.8301008
86,967.6293133,1788879104.8615453
87,967.6604611,1788879104.8926928
88,967.692407,1788879104.9246395
89,967.7221438,1788879104.9543755
90,967.7380713,1788879104.9703035
91,967.7693812,1788879105.001613
92,967.8002856,1788879105.0325177
93,967.8315933,1788879105.0638251
94,967.8624567,1788879105.0946884
95,967.8950601,1788879105.127292
96,967.9255631,1788879105.1577947
97,967.9561444,1788879105.188376
98,967.987783,1788879105.2200146
99,968.0193916,1788879105.2516232
100,968.0505658,1788879105.2827973
101,968.0814171,1788879105.313649
102,968.1123749,1788879105.3446069
103,968.1441848,1788879105.376417
104,968.175862,1788879105.4080937
105,968.2070472,1788879105.4392788
106,968.2386542,1788879105.470886
107,968.267813,1788879105.500045
108,968.2994372,1788879105.531669
109,968.3307642,1788879105.562996
110,968.3618995,1788879105.5941312
111,968.3924497,1788879105.6246817
112,968.4093681,1788879105.6415997
113,968.4255524,1788879105.6577845
114,968.4571365,1788879105.6893685
115,968.4877671,1788879105.7199993
116,968.5203458,1788879105.7525775
117,968.5499482,1788879105.78218
118,968.5809784,1788879105.81321
119,968.6120476,1788879105.8442793
120,968.6434681,1788879105.8757005
121,968.6731146,1788879105.9053469
122,968.6901543,1788879105.9223862
123,968.7211922,1788879105.9534235
124,968.7519446,1788879105.9841764
125,968.7839293,1788879106.0161614
126,968.8144637,1788879106.046696
127,968.8447711,1788879106.0770028
128,968.8756293,1788879106.107861
129,968.9065281,1788879106.1387596
130,968.9378009,1788879106.170033
131,968.9698557,1788879106.2020872
132,968.9993595,1788879106.2315915
133,969.0318641,1788879106.264096
134,969.0624795,1788879106.2947114
135,969.0930218,1788879106.325253
136,969.1238201,1788879106.356052
137,969.1395744,1788879106.371806
138,969.1571787,1788879106.3894103
139,969.1870534,1788879106.4192855
140,969.2212785,1788879106.4535103
