frame_index,t_perf_counter_s,t_unix_s
0,9683.1622674,1789397863.3948905
1,9683.1932554,1789397863.425878
2,9683.2225339,1789397863.4551566
3,9683.2534307,1789397863.4860535
4,9683.2857713,1789397863.5183938
5,9683.3170484,1789397863.5496705
6,9683.3469981,1789397863.5796201
7,9683.3782056,1789397863.6108274
8,9683.4096664,1789397863.642289
9,9683.4420206,1789397863.6746438
10,9683.4732073,1789397863.7058299
11,9683.504348,1789397863.736971
12,9683.5352351,1789397863.767858
13,9683.5645813,1789397863.7972035
14,9683.5975987,1789397863.8302214
15,9683.6290744,1789397863.861697
16,9683.6601516,1789397863.892774
17,9683.6910757,1789397863.923698
18,9683.720904,1789397863.953526
19,9683.7529702,1789397863.985593
20,9683.7837341,1789397864.0163565
21,9683.8155467,1789397864.0481691
22,9683.8452091,1789397864.0778315
23,9683.8761893,1789397864.1088119
24,9683.9066041,1789397864.1392267
25,9683.938404,1789397864.1710265
26,9683.9705773,1789397864.2032
27,9683.9996914,1789397864.2323136
28,9684.03189,1789397864.2645125
29,9684.0624647,1789397864.295087
30,9684.0941577,1789397864.3267798
31,9684.1296183,1789397864.362241
32,9684.1586524,1789397864.3912752
33,9684.1875414,1789397864.4201639
34,9684.2177619,1789397864.4503844
35,9684.2527291,1789397864.4853525
36,9684.2807347,1789397864.5133572
37,9684.3117759,1789397864.5443985
38,9684.3422698,1789397864.574892
39,9684.3731562,1789397864.6057787
40,9684.4055719,1789397864.6381948
41,9684.4377908,1789397864.670413
42,9684.4672397,1789397864.6998625
43,9684.4975413,1789397864.7301638
44,9684.5299946,1789397864.762617
45,9684.5605598,1789397864.7931821
46,9684.5911595,1789397864.823782
47,9684.6236014,1789397864.856224
48,9684.6541967,1789397864.8868191
49,9684.6881775,1789397864.9207997
50,9684.7179264,1789397864.950549
51,9684.7492396,1789397864.9818625
52,9684.7793192,1789397865.011942
53,9684.811623,1789397865.044246
54,9684.8431219,1789397865.0757446
55,9684.8745917,1789397865.1072145
56,9684.9062661,1789397865.1388886
57,9684.9377547,1789397865.1703777
58,9684.9679846,1789397865.2006068
59,9684.9987512,1789397865.2313733
60,9685.0296514,1789397865.2622738
61,9685.0605312,1789397865.2931533
62,9685.0922092,1789397865.324832
63,9685.1244784,1789397865.3571012
64,9685.1561092,1789397865.388732
65,9685.1876678,1789397865.42029
66,9685.2178711,1789397865.4504938
67,9685.2489396,1789397865.481562
68,9685.2808867,1789397865.5135093
69,9685.3113982,1789397865.5440207
70,9685.3430727,1789397865.5756953
71,9685.3734094,1789397865.6060317
72,9685.4045905,1789397865.6372128
73,9685.4355486,1789397865.6681707
74,9685.4677043,1789397865.7003264
75,9685.4991561,1789397865.7317786
76,9685.5290515,1789397865.7616744
77,9685.5588425,1789397865.7914648
78,9685.5903067,1789397865.8229294
79,9685.620626,1789397865.853248
80,9685.6528069,1789397865.8854296
81,9685.6837314,1789397865.9163544
82,9685.7154513,1789397865.948074
83,9685.7313718,1789397865.9639943
84,9685.7612666,1789397865.993889
85,9685.7936607,1789397866.026283
86,9685.8241681,1789397866.0567906
87,9685.8552914,1789397866.0879176
88,9685.8859796,1789397866.118602
89,9685.9192994,1789397866.1519225
90,9685.9475713,1789397866.1801934
91,9685.9797473,1789397866.21237
92,9686.0120137,1789397866.2446363
93,9686.0430276,1789397866.2756498
94,9686.0738855,1789397866.3065083
95,9686.1062487,1789397866.3388712
96,9686.136358,1789397866.3689804
97,9686.1664506,1789397866.399073
98,9686.1991745,1789397866.4317975
99,9686.2307185,1789397866.4633412
100,9686.2638089,1789397866.4964323
101,9686.2931423,1789397866.5257657
102,9686.3086611,1789397866.541284
103,9686.3417955,1789397866.5744205
104,9686.3717085,1789397866.604332
105,9686.3892356,1789397866.6218588
106,9686.4210105,1789397866.653633
107,9686.4508075,1789397866.6834311
108,9686.4810742,1789397866.7136967
109,9686.5124002,1789397866.7450228
110,9686.5437073,1789397866.77633
111,9686.5736335,1789397866.806256
112,9686.6052843,1789397866.8379064
113,9686.6356697,1789397866.8682923
114,9686.6666014,1789397866.899224
115,9686.6804705,1789397866.913093
116,9686.6963879,1789397866.9290102
117,9686.7136656,1789397866.946288
118,9686.7311866,1789397866.9638102
119,9686.7631837,1789397866.995807
120,9686.7934859,1789397867.0261085
121,9686.8244691,1789397867.0570912
122,9686.8560309,1789397867.088653
123,9686.8876224,1789397867.1202455
124,9686.9178588,1789397867.1504822
125,9686.9476729,1789397867.1802955
126,9686.9637625,1789397867.196385
127,9686.9950928,1789397867.227715
128,9687.0264506,1789397867.259073
129,9687.0579821,1789397867.2906044
130,9687.0904548,1789397867.3230777
131,9687.1217803,1789397867.3544028
132,9687.1533726,1789397867.3859951
133,9687.1840362,1789397867.4166596
134,9687.2164245,1789397867.4490478
135,9687.2477323,1789397867.4803555
136,9687.2786105,1789397867.5112333
137,9687.3084629,1789397867.541086
138,9687.3400125,1789397867.5726354
139,9687.3718115,1789397867.6044343
140,9687.4029485,1789397867.6355712
141,9687.4332269,1789397867.66585
142,9687.4628342,1789397867.695457
