frame_index,t_perf_counter_s,t_unix_s
0,8974.3379238,1789397154.5705469
1,8975.3382593,1789397155.5708823
2,8976.3386564,1789397156.5712793
3,8977.3392958,1789397157.571919
4,8978.3402876,1789397158.5729108
5,8979.3410978,1789397159.573721
6,8980.3416211,1789397160.574244
7,8981.3416653,1789397161.5742884
8,8982.3424358,1789397162.5750592
9,8983.3427394,1789397163.5753622
10,8984.3428913,1789397164.575514
11,8985.3433078,1789397165.5759306
12,8986.3443069,1789397166.5769298
13,8987.3445233,1789397167.5771477
14,8988.3448401,1789397168.5774648
15,8989.3448808,1789397169.5775034
16,8990.3450995,1789397170.5777228
17,8991.3457925,1789397171.5784156
18,8992.3460407,1789397172.5786633
19,8993.3465432,1789397173.579166
20,8994.3475126,1789397174.5801353
21,8995.3476543,1789397175.5802777
22,8996.351156,1789397176.5837798
23,8997.3539415,1789397177.5865655
24,8998.3592872,1789397178.5919104
25,8999.36414,1789397179.5967636
26,9000.3675648,1789397180.6001885
27,9001.3736351,1789397181.6062582
28,9002.3809358,1789397182.6135597
29,9003.3853309,1789397183.617954
30,9004.3893052,1789397184.6219285
31,9005.3927199,1789397185.625343
32,9006.3973911,1789397186.6300142
33,9007.3994483,1789397187.6320715
34,9008.402823,1789397188.635446
35,9009.4071277,1789397189.639751
36,9010.4105576,1789397190.6431813
37,9011.4218099,1789397191.6544337
38,9012.4243519,1789397192.6569748
39,9013.427001,1789397193.659624
40,9014.4327101,1789397194.665333
41,9015.4347684,1789397195.667391
42,9016.4401117,1789397196.6727355
43,9017.4420175,1789397197.674641
44,9018.4462651,1789397198.6788888
45,9019.450576,1789397199.683199
46,9020.454012,1789397200.686636
47,9021.4638057,1789397201.6964285
48,9022.4647963,1789397202.6974192
49,9023.467719,1789397203.700342
50,9024.4717607,1789397204.704384
51,9025.4758508,1789397205.7084734
52,9026.4802074,1789397206.7128305
53,9027.4842904,1789397207.7169142
54,9028.4885117,1789397208.7211354
55,9029.4932074,1789397209.7258313
56,9030.4996634,1789397210.7322865
57,9031.5030391,1789397211.7356622
58,9032.5060639,1789397212.738687
59,9033.51082,1789397213.7434437
60,9034.5161755,1789397214.748799
61,9035.5200451,1789397215.7526684
62,9036.5243692,1789397216.756992
63,9037.5278461,1789397217.7604694
64,9038.5319069,1789397218.7645295
65,9039.5363773,1789397219.7690012
66,9040.5421384,1789397220.7747614
67,9041.5509422,1789397221.7835658
68,9042.5535874,1789397222.786211
69,9043.5563624,1789397223.7889855
70,9044.5612552,1789397224.7938788
71,9045.5635275,1789397225.7961514
72,9046.5677083,1789397226.8003316
73,9047.5712369,1789397227.80386
74,9048.5749466,1789397228.80757
75,9049.5862362,1789397229.818859
76,9050.5886482,1789397230.8212721
77,9051.5925703,1789397231.825194
78,9052.5968019,1789397232.8294256
79,9053.60012,1789397233.8327436
80,9054.6033651,1789397234.8359888
81,9055.6077841,1789397235.8404071
82,9056.6114499,1789397236.844073
83,9057.6144282,1789397237.8470519
84,9058.6189188,1789397238.8515425
85,9059.626318,1789397239.8589418
86,9060.6298229,1789397240.8624458
87,9061.6325332,1789397241.8651571
88,9062.6369635,1789397242.8695867
89,9063.6408554,1789397243.8734787
90,9064.6451235,1789397244.8777466
91,9065.6489678,1789397245.8815908
92,9066.6534145,1789397246.8860376
93,9067.6585321,1789397247.8911548
94,9068.6635547,1789397248.8961778
95,9069.6679036,1789397249.9005268
96,9070.6718883,1789397250.904512
97,9071.6793317,1789397251.9119549
98,9072.6803524,1789397252.9129753
