frame_index,t_perf_counter_s,t_unix_s
0,5569.1671282,1789393749.399751
1,5570.1672503,1789393750.3998733
2,5571.1675731,1789393751.400196
3,5572.1676921,1789393752.4003148
4,5573.1677219,1789393753.4003446
5,5574.1682676,1789393754.4008904
6,5575.1692612,1789393755.4018838
7,5576.1702128,1789393756.4028356
8,5577.1705663,1789393757.4031904
9,5578.170474,1789393758.4030979
10,5579.17082,1789393759.4034426
11,5580.1708653,1789393760.4034882
12,5581.1711862,1789393761.403809
13,5582.1722508,1789393762.4048743
14,5583.1725393,1789393763.4051623
15,5584.1733532,1789393764.4059768
